Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp
5771,Airport,4,Trip Completed,15-07-2016 08:30:06,15-07-2016 09:37:20
6106,Airport,4,Trip Completed,15-07-2016 15:01:20,15-07-2016 15:47:31
312,City,5,Trip Completed,11/7/2016 7:27,11/7/2016 8:31
577,Airport,5,Trip Completed,11/7/2016 11:03,11/7/2016 12:01
1179,City,5,Trip Completed,11/7/2016 20:58,11/7/2016 21:45
1756,Airport,5,Trip Completed,12/7/2016 8:40,12/7/2016 9:23
2052,City,5,Trip Completed,12/7/2016 14:48,12/7/2016 15:50
2559,City,5,Trip Completed,12/7/2016 21:32,12/7/2016 22:29
3014,City,5,Trip Completed,13-07-2016 07:28:14,13-07-2016 08:29:47
3317,City,5,Trip Completed,13-07-2016 12:14:27,13-07-2016 12:46:38
4297,City,5,Trip Completed,14-07-2016 06:43:01,14-07-2016 07:49:38
5857,Airport,5,Trip Completed,15-07-2016 09:08:50,15-07-2016 10:07:07
6690,Airport,5,Trip Completed,15-07-2016 22:41:41,15-07-2016 23:51:00
1517,Airport,6,Trip Completed,12/7/2016 5:45,12/7/2016 6:28
1999,Airport,6,Trip Completed,12/7/2016 13:02,12/7/2016 13:51
2960,Airport,6,Trip Completed,13-07-2016 06:50:33,13-07-2016 07:40:35
3882,City,6,Trip Completed,13-07-2016 21:53:03,13-07-2016 22:45:24
4081,Airport,6,Trip Completed,14-07-2016 02:37:14,14-07-2016 03:30:27
4740,City,6,Trip Completed,14-07-2016 14:50:07,14-07-2016 15:38:14
5270,City,6,Trip Completed,14-07-2016 21:33:55,14-07-2016 22:25:43
6758,Airport,6,Trip Completed,15-07-2016 00:03:39,15-07-2016 01:07:39
5741,City,6,Trip Completed,15-07-2016 07:52:51,15-07-2016 08:38:55
6087,Airport,6,Trip Completed,15-07-2016 14:28:50,15-07-2016 15:33:53
1039,City,7,Trip Completed,11/7/2016 19:31,11/7/2016 20:41
1273,Airport,7,Trip Completed,11/7/2016 22:07,11/7/2016 23:12
2480,City,7,Trip Completed,12/7/2016 20:39,12/7/2016 21:28
4105,City,7,Trip Completed,14-07-2016 03:39:38,14-07-2016 04:39:04
4509,City,7,Trip Completed,14-07-2016 09:11:13,14-07-2016 10:17:01
4986,Airport,7,Trip Completed,14-07-2016 18:52:32,14-07-2016 19:50:57
5898,City,7,Trip Completed,15-07-2016 09:50:28,15-07-2016 10:40:39
6142,Airport,7,Trip Completed,15-07-2016 15:50:15,15-07-2016 16:36:56
380,Airport,8,Trip Completed,11/7/2016 8:18,11/7/2016 9:18
1050,Airport,8,Trip Completed,11/7/2016 19:39,11/7/2016 20:30
1769,City,8,Trip Completed,12/7/2016 8:57,12/7/2016 9:24
2520,City,8,Trip Completed,12/7/2016 21:05,12/7/2016 22:20
3265,Airport,8,Trip Completed,13-07-2016 10:22:07,13-07-2016 11:07:02
4648,City,8,Trip Completed,14-07-2016 11:55:10,14-07-2016 12:59:34
449,Airport,9,Trip Completed,11/7/2016 9:08,11/7/2016 9:52
846,Airport,9,Trip Completed,11/7/2016 17:46,11/7/2016 18:52
1346,Airport,9,Trip Completed,11/7/2016 23:39,12/7/2016 0:23
1474,Airport,9,Trip Completed,12/7/2016 5:13,12/7/2016 5:56
2240,City,9,Trip Completed,12/7/2016 18:20,12/7/2016 18:54
3072,Airport,9,Trip Completed,13-07-2016 08:04:57,13-07-2016 08:36:37
3459,Airport,9,Trip Completed,13-07-2016 17:03:30,13-07-2016 17:31:49
3774,Airport,9,Trip Completed,13-07-2016 20:41:24,13-07-2016 21:27:29
4023,City,9,Trip Completed,13-07-2016 23:58:41,14-07-2016 00:58:39
4117,City,9,Trip Completed,14-07-2016 04:21:42,14-07-2016 05:07:07
4880,Airport,9,Trip Completed,14-07-2016 17:58:46,14-07-2016 19:02:42
5568,Airport,9,Trip Completed,15-07-2016 05:47:49,15-07-2016 06:25:49
5994,Airport,9,Trip Completed,15-07-2016 11:51:16,15-07-2016 12:32:12
1809,Airport,10,Trip Completed,12/7/2016 9:13,12/7/2016 10:01
2064,Airport,10,Trip Completed,12/7/2016 15:08,12/7/2016 16:14
3210,City,10,Trip Completed,13-07-2016 09:47:06,13-07-2016 10:52:37
4350,City,10,Trip Completed,14-07-2016 07:24:43,14-07-2016 08:22:09
4713,City,10,Trip Completed,14-07-2016 13:31:24,14-07-2016 14:10:56
5629,Airport,10,Trip Completed,15-07-2016 06:33:00,15-07-2016 07:19:53
6157,Airport,10,Trip Completed,15-07-2016 16:32:51,15-07-2016 17:44:44
2030,City,11,Trip Completed,12/7/2016 14:11,12/7/2016 15:02
3226,City,11,Trip Completed,13-07-2016 10:00:17,13-07-2016 11:02:52
3353,City,11,Trip Completed,13-07-2016 13:29:44,13-07-2016 14:09:00
4293,City,11,Trip Completed,14-07-2016 06:42:36,14-07-2016 07:12:41
4936,City,11,Trip Completed,14-07-2016 18:22:17,14-07-2016 19:14:36
5661,Airport,11,Trip Completed,15-07-2016 07:08:50,15-07-2016 07:59:00
5778,City,11,Trip Completed,15-07-2016 08:22:03,15-07-2016 09:13:04
6425,Airport,11,Trip Completed,15-07-2016 19:46:40,15-07-2016 20:26:51
45,Airport,12,Trip Completed,11/7/2016 3:17,11/7/2016 4:09
264,City,12,Trip Completed,11/7/2016 6:51,11/7/2016 7:40
1183,City,12,Trip Completed,11/7/2016 21:05,11/7/2016 21:38
1536,Airport,12,Trip Completed,12/7/2016 5:59,12/7/2016 6:59
2437,City,12,Trip Completed,12/7/2016 20:18,12/7/2016 21:26
2641,Airport,12,Trip Completed,12/7/2016 22:28,12/7/2016 23:05
4077,Airport,12,Trip Completed,14-07-2016 02:14:15,14-07-2016 03:13:09
4610,City,12,Trip Completed,14-07-2016 10:35:14,14-07-2016 11:39:01
5066,Airport,12,Trip Completed,14-07-2016 19:31:20,14-07-2016 20:14:03
5666,Airport,12,Trip Completed,15-07-2016 07:04:55,15-07-2016 08:12:37
5923,City,12,Trip Completed,15-07-2016 10:07:49,15-07-2016 10:50:50
6367,City,12,Trip Completed,15-07-2016 19:04:46,15-07-2016 19:46:04
155,City,13,Trip Completed,11/7/2016 5:32,11/7/2016 6:28
310,Airport,13,Trip Completed,11/7/2016 7:24,11/7/2016 8:28
607,City,13,Trip Completed,11/7/2016 11:51,11/7/2016 12:42
1012,City,13,Trip Completed,11/7/2016 19:15,11/7/2016 19:57
1696,Airport,13,Trip Completed,12/7/2016 8:01,12/7/2016 8:42
3076,City,13,Trip Completed,13-07-2016 08:09:04,13-07-2016 09:12:19
4198,Airport,13,Trip Completed,14-07-2016 05:32:14,14-07-2016 06:45:32
4627,City,13,Trip Completed,14-07-2016 11:13:19,14-07-2016 12:00:12
5289,City,13,Trip Completed,14-07-2016 21:43:24,14-07-2016 22:24:13
5495,Airport,13,Trip Completed,15-07-2016 05:00:13,15-07-2016 06:02:27
6656,Airport,13,Trip Completed,15-07-2016 22:08:42,15-07-2016 22:41:18
139,Airport,14,Trip Completed,11/7/2016 5:21,11/7/2016 6:09
215,City,14,Trip Completed,11/7/2016 6:15,11/7/2016 7:07
1816,City,14,Trip Completed,12/7/2016 9:24,12/7/2016 10:07
2505,Airport,14,Trip Completed,12/7/2016 21:03,12/7/2016 22:14
3346,City,14,Trip Completed,13-07-2016 13:01:42,13-07-2016 13:55:59
5294,City,14,Trip Completed,14-07-2016 21:45:50,14-07-2016 22:16:40
6226,Airport,14,Trip Completed,15-07-2016 17:34:25,15-07-2016 18:33:13
6733,Airport,14,Trip Completed,15-07-2016 23:32:44,16-07-2016 00:37:46
1027,Airport,15,Trip Completed,11/7/2016 19:18,11/7/2016 20:24
2675,Airport,15,Trip Completed,12/7/2016 23:43,13-07-2016 00:35:12
3200,City,15,Trip Completed,13-07-2016 09:39:44,13-07-2016 10:30:58
3865,City,15,Trip Completed,13-07-2016 21:52:05,13-07-2016 22:21:15
4468,City,15,Trip Completed,14-07-2016 08:42:46,14-07-2016 09:22:01
5163,Airport,15,Trip Completed,14-07-2016 20:34:30,14-07-2016 21:05:18
6009,City,15,Trip Completed,15-07-2016 12:22:35,15-07-2016 13:25:27
6448,Airport,15,Trip Completed,15-07-2016 20:02:54,15-07-2016 20:40:45
591,City,16,Trip Completed,11/7/2016 11:25,11/7/2016 12:31
709,City,16,Trip Completed,11/7/2016 14:16,11/7/2016 15:03
1167,Airport,16,Trip Completed,11/7/2016 20:50,11/7/2016 21:52
2661,Airport,16,Trip Completed,12/7/2016 23:23,13-07-2016 00:27:21
2808,City,16,Trip Completed,13-07-2016 05:05:16,13-07-2016 05:56:11
3258,Airport,16,Trip Completed,13-07-2016 10:12:51,13-07-2016 10:45:28
3413,Airport,16,Trip Completed,13-07-2016 15:32:01,13-07-2016 16:45:44
3939,Airport,16,Trip Completed,13-07-2016 22:26:26,13-07-2016 22:55:54
4125,City,16,Trip Completed,14-07-2016 04:37:11,14-07-2016 05:46:29
4457,City,16,Trip Completed,14-07-2016 08:36:24,14-07-2016 09:19:20
4728,City,16,Trip Completed,14-07-2016 14:04:13,14-07-2016 15:06:40
5347,Airport,16,Trip Completed,14-07-2016 22:51:47,14-07-2016 23:53:42
6147,City,16,Trip Completed,15-07-2016 16:11:02,15-07-2016 17:30:08
6496,Airport,16,Trip Completed,15-07-2016 20:33:00,15-07-2016 21:32:49
634,City,17,Trip Completed,11/7/2016 12:25,11/7/2016 13:06
939,Airport,17,Trip Completed,11/7/2016 18:25,11/7/2016 19:26
2628,Airport,17,Trip Completed,12/7/2016 22:10,12/7/2016 23:25
3021,City,17,Trip Completed,13-07-2016 07:33:20,13-07-2016 08:26:07
4743,City,17,Trip Completed,14-07-2016 14:54:16,14-07-2016 15:39:03
4981,City,17,Trip Completed,14-07-2016 18:47:42,14-07-2016 19:43:44
5367,Airport,17,Trip Completed,14-07-2016 23:35:34,15-07-2016 00:25:26
5471,Airport,17,Trip Completed,15-07-2016 04:48:57,15-07-2016 05:47:13
5988,Airport,17,Trip Completed,15-07-2016 11:48:32,15-07-2016 12:55:02
6477,Airport,17,Trip Completed,15-07-2016 20:21:26,15-07-2016 21:00:31
499,City,18,Trip Completed,11/7/2016 9:39,11/7/2016 10:16
1147,Airport,18,Trip Completed,11/7/2016 20:42,11/7/2016 21:18
1410,Airport,18,Trip Completed,12/7/2016 3:14,12/7/2016 4:27
1804,Airport,18,Trip Completed,12/7/2016 9:12,12/7/2016 9:57
1949,Airport,18,Trip Completed,12/7/2016 11:32,12/7/2016 12:13
2713,City,18,Trip Completed,13-07-2016 01:46:42,13-07-2016 02:37:08
2845,City,18,Trip Completed,13-07-2016 05:28:29,13-07-2016 06:10:40
3943,Airport,18,Trip Completed,13-07-2016 22:35:38,13-07-2016 23:33:20
4792,City,18,Trip Completed,14-07-2016 16:47:15,14-07-2016 17:34:39
5207,Airport,18,Trip Completed,14-07-2016 20:57:41,14-07-2016 21:56:21
5890,City,18,Trip Completed,15-07-2016 09:43:57,15-07-2016 10:55:22
494,City,19,Trip Completed,11/7/2016 9:36,11/7/2016 10:02
1485,City,19,Trip Completed,12/7/2016 5:21,12/7/2016 6:35
2042,City,19,Trip Completed,12/7/2016 14:30,12/7/2016 15:09
2561,Airport,19,Trip Completed,12/7/2016 21:29,12/7/2016 22:44
3813,Airport,19,Trip Completed,13-07-2016 21:06:57,13-07-2016 21:46:24
4260,Airport,19,Trip Completed,14-07-2016 06:11:51,14-07-2016 06:59:46
4395,City,19,Trip Completed,14-07-2016 08:00:15,14-07-2016 08:54:39
5919,City,19,Trip Completed,15-07-2016 10:03:42,15-07-2016 10:59:27
6002,Airport,19,Trip Completed,15-07-2016 12:04:15,15-07-2016 12:53:36
468,City,20,Trip Completed,11/7/2016 9:20,11/7/2016 10:05
693,Airport,20,Trip Completed,11/7/2016 13:51,11/7/2016 15:01
1178,City,20,Trip Completed,11/7/2016 21:05,11/7/2016 22:06
2103,City,20,Trip Completed,12/7/2016 16:08,12/7/2016 17:18
2292,Airport,20,Trip Completed,12/7/2016 18:46,12/7/2016 19:23
3339,City,20,Trip Completed,13-07-2016 12:40:58,13-07-2016 13:30:26
3694,City,20,Trip Completed,13-07-2016 19:33:19,13-07-2016 20:35:08
4469,City,20,Trip Completed,14-07-2016 08:45:13,14-07-2016 09:48:08
6432,City,20,Trip Completed,15-07-2016 19:50:57,15-07-2016 20:30:05
1895,City,21,Trip Completed,12/7/2016 10:20,12/7/2016 10:52
1981,Airport,21,Trip Completed,12/7/2016 12:23,12/7/2016 12:56
3744,Airport,21,Trip Completed,13-07-2016 20:28:11,13-07-2016 21:22:42
4433,Airport,21,Trip Completed,14-07-2016 08:26:32,14-07-2016 09:12:02
6039,Airport,21,Trip Completed,15-07-2016 13:11:04,15-07-2016 13:38:01
6543,City,21,Trip Completed,15-07-2016 20:54:20,15-07-2016 22:12:36
110,City,22,Trip Completed,11/7/2016 5:05,11/7/2016 6:06
362,City,22,Trip Completed,11/7/2016 8:01,11/7/2016 9:18
666,Airport,22,Trip Completed,11/7/2016 13:02,11/7/2016 13:45
926,City,22,Trip Completed,11/7/2016 18:28,11/7/2016 19:34
1180,Airport,22,Trip Completed,11/7/2016 21:01,11/7/2016 22:14
1900,City,22,Trip Completed,12/7/2016 10:32,12/7/2016 11:42
2506,City,22,Trip Completed,12/7/2016 21:01,12/7/2016 21:38
3064,City,22,Trip Completed,13-07-2016 08:02:03,13-07-2016 08:58:46
3327,Airport,22,Trip Completed,13-07-2016 12:24:41,13-07-2016 13:23:39
3601,City,22,Trip Completed,13-07-2016 18:39:00,13-07-2016 19:29:07
4768,Airport,22,Trip Completed,14-07-2016 15:39:24,14-07-2016 16:49:03
5142,City,22,Trip Completed,14-07-2016 20:17:51,14-07-2016 20:48:58
5366,Airport,22,Trip Completed,14-07-2016 23:27:22,15-07-2016 00:19:50
5575,City,22,Trip Completed,15-07-2016 05:53:55,15-07-2016 06:50:02
5902,City,22,Trip Completed,15-07-2016 09:52:57,15-07-2016 10:37:05
6694,Airport,22,Trip Completed,15-07-2016 22:45:44,15-07-2016 23:17:53
523,Airport,23,Trip Completed,11/7/2016 9:48,11/7/2016 10:37
747,City,23,Trip Completed,11/7/2016 15:53,11/7/2016 16:43
1371,Airport,23,Trip Completed,12/7/2016 0:22,12/7/2016 1:33
1553,City,23,Trip Completed,12/7/2016 6:09,12/7/2016 7:09
1692,Airport,23,Trip Completed,12/7/2016 7:52,12/7/2016 9:01
2114,City,23,Trip Completed,12/7/2016 16:36,12/7/2016 17:21
2742,City,23,Trip Completed,13-07-2016 03:07:37,13-07-2016 03:51:35
4273,City,23,Trip Completed,14-07-2016 06:17:01,14-07-2016 07:02:28
4668,City,23,Trip Completed,14-07-2016 12:25:02,14-07-2016 13:34:58
5425,City,23,Trip Completed,15-07-2016 02:23:56,15-07-2016 03:08:35
5488,City,23,Trip Completed,15-07-2016 04:53:42,15-07-2016 06:00:16
5781,City,23,Trip Completed,15-07-2016 08:35:47,15-07-2016 09:42:27
5966,Airport,23,Trip Completed,15-07-2016 10:54:27,15-07-2016 11:58:44
6122,City,23,Trip Completed,15-07-2016 15:26:06,15-07-2016 16:29:40
357,Airport,24,Trip Completed,11/7/2016 8:00,11/7/2016 9:08
1068,City,24,Trip Completed,11/7/2016 19:52,11/7/2016 20:48
2689,Airport,24,Trip Completed,13-07-2016 00:34:03,13-07-2016 01:49:08
2791,City,24,Trip Completed,13-07-2016 04:56:20,13-07-2016 05:33:20
3321,City,24,Trip Completed,13-07-2016 12:23:02,13-07-2016 13:25:14
3423,Airport,24,Trip Completed,13-07-2016 15:52:07,13-07-2016 16:50:46
3761,Airport,24,Trip Completed,13-07-2016 20:35:24,13-07-2016 21:39:02
4140,City,24,Trip Completed,14-07-2016 04:48:09,14-07-2016 06:05:01
4656,City,24,Trip Completed,14-07-2016 12:06:27,14-07-2016 12:49:14
4931,Airport,24,Trip Completed,14-07-2016 18:21:52,14-07-2016 18:54:03
5268,City,24,Trip Completed,14-07-2016 21:29:35,14-07-2016 22:30:11
5811,City,24,Trip Completed,15-07-2016 08:46:30,15-07-2016 09:26:33
6139,Airport,24,Trip Completed,15-07-2016 15:45:16,15-07-2016 16:40:41
6333,Airport,24,Trip Completed,15-07-2016 18:41:22,15-07-2016 19:53:29
773,City,25,Trip Completed,11/7/2016 16:23,11/7/2016 17:21
1123,City,25,Trip Completed,11/7/2016 20:20,11/7/2016 21:18
2667,Airport,25,Trip Completed,12/7/2016 23:35,13-07-2016 00:40:52
2833,City,25,Trip Completed,13-07-2016 05:27:26,13-07-2016 06:19:18
3396,City,25,Trip Completed,13-07-2016 14:59:08,13-07-2016 15:57:24
3590,City,25,Trip Completed,13-07-2016 18:31:29,13-07-2016 19:31:56
3762,City,25,Trip Completed,13-07-2016 20:38:10,13-07-2016 21:21:24
4566,City,25,Trip Completed,14-07-2016 09:48:56,14-07-2016 10:22:52
4862,City,25,Trip Completed,14-07-2016 17:37:44,14-07-2016 18:41:40
5564,Airport,25,Trip Completed,15-07-2016 05:41:11,15-07-2016 06:53:22
6187,City,25,Trip Completed,15-07-2016 17:11:08,15-07-2016 18:08:11
6642,City,25,Trip Completed,15-07-2016 22:07:14,15-07-2016 22:54:02
322,City,26,Trip Completed,11/7/2016 7:31,11/7/2016 8:10
793,City,26,Trip Completed,11/7/2016 17:04,11/7/2016 18:06
898,Airport,26,Trip Completed,11/7/2016 18:14,11/7/2016 19:09
1258,City,26,Trip Completed,11/7/2016 21:51,11/7/2016 23:00
2832,City,26,Trip Completed,13-07-2016 05:20:16,13-07-2016 06:14:07
3139,City,26,Trip Completed,13-07-2016 08:54:04,13-07-2016 09:22:42
3438,City,26,Trip Completed,13-07-2016 16:12:53,13-07-2016 17:13:44
3966,Airport,26,Trip Completed,13-07-2016 22:50:42,13-07-2016 23:27:43
6401,Airport,26,Trip Completed,15-07-2016 19:33:00,15-07-2016 20:16:57
204,City,27,Trip Completed,11/7/2016 6:04,11/7/2016 6:44
632,Airport,27,Trip Completed,11/7/2016 12:20,11/7/2016 13:10
763,City,27,Trip Completed,11/7/2016 16:19,11/7/2016 17:25
1786,Airport,27,Trip Completed,12/7/2016 9:03,12/7/2016 9:58
1968,City,27,Trip Completed,12/7/2016 12:10,12/7/2016 12:49
2088,Airport,27,Trip Completed,12/7/2016 15:51,12/7/2016 17:02
2473,Airport,27,Trip Completed,12/7/2016 20:43,12/7/2016 21:20
2869,Airport,27,Trip Completed,13-07-2016 05:50:09,13-07-2016 06:27:07
3742,Airport,27,Trip Completed,13-07-2016 20:24:23,13-07-2016 20:48:05
4440,Airport,27,Trip Completed,14-07-2016 08:26:29,14-07-2016 09:00:36
5234,City,27,Trip Completed,14-07-2016 21:09:47,14-07-2016 21:52:37
6354,Airport,27,Trip Completed,15-07-2016 18:59:01,15-07-2016 19:35:10
6638,City,27,Trip Completed,15-07-2016 21:59:10,15-07-2016 23:13:18
84,City,28,Trip Completed,11/7/2016 4:50,11/7/2016 5:26
1199,City,28,Trip Completed,11/7/2016 21:17,11/7/2016 21:53
1676,Airport,28,Trip Completed,12/7/2016 7:44,12/7/2016 8:40
2774,City,28,Trip Completed,13-07-2016 04:33:38,13-07-2016 05:13:54
3220,Airport,28,Trip Completed,13-07-2016 09:51:41,13-07-2016 10:24:39
3718,Airport,28,Trip Completed,13-07-2016 19:56:20,13-07-2016 20:47:17
4904,Airport,28,Trip Completed,14-07-2016 18:02:23,14-07-2016 18:58:49
6527,Airport,28,Trip Completed,15-07-2016 20:54:01,15-07-2016 21:53:29
6710,City,28,Trip Completed,15-07-2016 23:02:36,16-07-2016 00:12:12
1584,Airport,29,Trip Completed,12/7/2016 6:26,12/7/2016 7:18
1966,Airport,29,Trip Completed,12/7/2016 12:05,12/7/2016 13:12
2827,City,29,Trip Completed,13-07-2016 05:18:31,13-07-2016 06:18:22
2945,Airport,29,Trip Completed,13-07-2016 06:34:13,13-07-2016 07:28:05
3365,City,29,Trip Completed,13-07-2016 13:47:14,13-07-2016 14:51:51
3548,Airport,29,Trip Completed,13-07-2016 18:07:42,13-07-2016 19:12:22
3753,City,29,Trip Completed,13-07-2016 20:30:08,13-07-2016 21:42:32
4569,Airport,29,Trip Completed,14-07-2016 09:48:17,14-07-2016 10:49:39
6309,Airport,29,Trip Completed,15-07-2016 18:29:54,15-07-2016 19:42:21
6437,City,29,Trip Completed,15-07-2016 19:53:52,15-07-2016 20:26:32
517,Airport,30,Trip Completed,11/7/2016 9:45,11/7/2016 10:24
1406,Airport,30,Trip Completed,12/7/2016 3:02,12/7/2016 3:55
1643,Airport,30,Trip Completed,12/7/2016 7:18,12/7/2016 8:10
2108,Airport,30,Trip Completed,12/7/2016 16:14,12/7/2016 16:48
2647,City,30,Trip Completed,12/7/2016 22:46,12/7/2016 23:18
3129,City,30,Trip Completed,13-07-2016 08:41:49,13-07-2016 09:41:42
3738,Airport,30,Trip Completed,13-07-2016 20:15:54,13-07-2016 20:55:01
4422,Airport,30,Trip Completed,14-07-2016 08:13:15,14-07-2016 09:13:10
4790,City,30,Trip Completed,14-07-2016 16:43:53,14-07-2016 17:56:08
5496,City,30,Trip Completed,15-07-2016 04:59:58,15-07-2016 05:34:09
6484,Airport,30,Trip Completed,15-07-2016 20:19:45,15-07-2016 21:01:21
6731,Airport,30,Trip Completed,15-07-2016 23:23:55,16-07-2016 00:11:55
629,Airport,31,Trip Completed,11/7/2016 12:14,11/7/2016 13:00
745,Airport,31,Trip Completed,11/7/2016 15:48,11/7/2016 16:45
1064,City,31,Trip Completed,11/7/2016 19:53,11/7/2016 20:31
1886,Airport,31,Trip Completed,12/7/2016 10:10,12/7/2016 10:35
5608,Airport,31,Trip Completed,15-07-2016 06:18:36,15-07-2016 07:07:34
5877,City,31,Trip Completed,15-07-2016 09:37:21,15-07-2016 10:08:03
6100,Airport,31,Trip Completed,15-07-2016 14:44:32,15-07-2016 15:41:12
6659,Airport,31,Trip Completed,15-07-2016 22:15:45,15-07-2016 23:07:50
2162,Airport,32,Trip Completed,12/7/2016 17:34,12/7/2016 18:33
3294,Airport,32,Trip Completed,13-07-2016 11:23:36,13-07-2016 12:14:06
3686,City,32,Trip Completed,13-07-2016 19:33:18,13-07-2016 20:34:21
4784,City,32,Trip Completed,14-07-2016 16:41:52,14-07-2016 17:15:01
5896,City,32,Trip Completed,15-07-2016 09:47:11,15-07-2016 10:32:41
6190,City,32,Trip Completed,15-07-2016 17:11:33,15-07-2016 17:55:50
6551,City,32,Trip Completed,15-07-2016 21:03:02,15-07-2016 22:17:22
145,City,33,Trip Completed,11/7/2016 5:32,11/7/2016 6:37
735,City,33,Trip Completed,11/7/2016 15:27,11/7/2016 16:32
918,Airport,33,Trip Completed,11/7/2016 18:22,11/7/2016 19:04
1478,City,33,Trip Completed,12/7/2016 5:16,12/7/2016 6:13
1957,City,33,Trip Completed,12/7/2016 11:45,12/7/2016 12:55
3097,City,33,Trip Completed,13-07-2016 08:15:34,13-07-2016 09:12:57
3981,Airport,33,Trip Completed,13-07-2016 23:13:54,13-07-2016 23:38:37
4175,City,33,Trip Completed,14-07-2016 05:11:15,14-07-2016 06:15:24
6237,City,33,Trip Completed,15-07-2016 17:50:37,15-07-2016 18:49:29
738,City,34,Trip Completed,11/7/2016 15:30,11/7/2016 16:44
2731,City,34,Trip Completed,13-07-2016 02:38:48,13-07-2016 03:16:56
2863,Airport,34,Trip Completed,13-07-2016 05:46:42,13-07-2016 06:22:39
3528,Airport,34,Trip Completed,13-07-2016 17:50:59,13-07-2016 18:17:24
4653,City,34,Trip Completed,14-07-2016 11:58:46,14-07-2016 12:55:21
5042,City,34,Trip Completed,14-07-2016 19:21:16,14-07-2016 20:05:07
360,Airport,35,Trip Completed,11/7/2016 8:02,11/7/2016 9:05
771,Airport,35,Trip Completed,11/7/2016 16:19,11/7/2016 17:34
1274,City,35,Trip Completed,11/7/2016 22:01,11/7/2016 23:21
1501,City,35,Trip Completed,12/7/2016 5:41,12/7/2016 6:47
1972,City,35,Trip Completed,12/7/2016 12:22,12/7/2016 12:43
2871,City,35,Trip Completed,13-07-2016 05:53:33,13-07-2016 07:00:33
3395,City,35,Trip Completed,13-07-2016 14:52:52,13-07-2016 15:33:04
3572,City,35,Trip Completed,13-07-2016 18:25:52,13-07-2016 19:31:28
4118,Airport,35,Trip Completed,14-07-2016 04:28:35,14-07-2016 05:26:48
4739,City,35,Trip Completed,14-07-2016 14:52:43,14-07-2016 15:37:25
6556,City,35,Trip Completed,15-07-2016 21:09:57,15-07-2016 21:38:06
6677,Airport,35,Trip Completed,15-07-2016 22:29:56,15-07-2016 23:22:48
1104,Airport,36,Trip Completed,11/7/2016 20:17,11/7/2016 21:20
1596,Airport,36,Trip Completed,12/7/2016 6:39,12/7/2016 7:30
1835,Airport,36,Trip Completed,12/7/2016 9:35,12/7/2016 10:30
2110,Airport,36,Trip Completed,12/7/2016 16:19,12/7/2016 17:12
